CURVE,X,Y
373,132,338.6
373,133,338.9
373,134,339.6
373,135,339.8
373,136,340.1
373,137,340.3
373,138,340.6
373,139,340.8
373,142,341.1
343,0,0
343,1,0
343,2,0.3
343,3,0.5
343,4,0.9
343,5,1.2
343,6,1.9
343,9,3.4
343,10,4.6
343,12,5.8
343,13,6.5
343,14,7.9
343,16,9.3
343,17,10.1
343,18,11.7
343,19,12.5
343,20,13.4
343,21,14.2
343,22,16
343,23,17
343,24,17.9
343,25,18.7
343,26,20.6
343,29,23.6
343,30,25.5
343,31,26.5
343,32,27.6
343,33,28.5
343,34,30.6
343,35,31.7
343,36,32.7
343,37,33.8
343,38,35.9
343,39,36.9
343,40,38.1
343,41,39.1
343,42,41.3
343,43,42.3
343,44,43.5
343,45,44.5
343,46,46.7
343,47,47.8
343,48,48.8
343,49,50
343,50,52.1
343,51,53.3
343,52,54.3
343,53,55.5
343,54,57.6
343,57,60.9
343,58,63.1
343,59,64.1
343,61,66.3
343,62,68.4
343,63,69.5
343,64,70.5
343,65,71.6
343,66,73.7
343,67,74.7
343,68,75.8
343,69,76.8
343,70,78.9
343,71,80
343,73,82
343,74,84
343,77,87
343,78,89
343,79,90
343,80,90.9
343,81,91.9
343,82,93.8
343,83,94.8
343,84,95.7
343,85,96.7
343,86,98.5
343,89,101.2
343,90,103.1
343,91,104
343,92,104.8
343,93,105.7
343,94,107.5
343,96,109.1
343,97,110
343,98,111.7
343,99,112.4
343,100,113.2
343,101,114.1
343,102,115.7
343,104,117.3
343,105,118
343,106,119.5
343,107,120.3
343,108,121
343,109,121.8
343,110,123.3
343,113,125.4
343,114,126.8
343,115,127.5
343,116,128.1
343,117,128.8
343,118,130.1
343,119,130.7
343,120,131.4
343,121,132
343,122,133.3
343,125,135.1
343,126,136.2
343,127,136.9
343,128,137.4
343,129,138
343,130,139
343,132,140.2
343,133,140.6
343,134,141.7
343,135,142.2
343,136,142.6
343,137,143.1
343,138,144.1
343,140,145.1
343,141,145.5
343,142,146.5
343,143,146.8
343,144,147.3
343,145,147.7
343,146,148.6
343,147,148.9
343,148,149.4
343,149,149.7
343,150,150.5
343,151,150.8
343,153,151.6
343,154,152.3
343,156,152.9
343,157,153.3
343,158,153.9
343,160,154.5
343,161,154.9
343,162,155.4
343,163,155.7
343,164,155.9
343,165,156.2
343,166,156.7
343,167,157
343,169,157.4
343,170,157.8
343,172,158.4
343,173,158.6
343,174,158.9
343,175,159.1
343,176,159.2
343,177,159.4
343,178,159.8
343,179,159.9
343,181,160.3
343,182,160.6
343,185,160.9
343,186,161.2
343,187,161.3
343,188,161.3
343,189,161.5
343,190,161.6
343,191,161.8
343,192,161.9
343,193,161.9
343,194,162.1
343,196,162.1
343,197,162.2
343,198,162.2
343,199,162.3
343,200,162.3
343,201,162.4
343,203,162.4
343,204,162.5
33,0,0
33,1,0
33,2,0.3
33,3,0.7
33,4,1.2
33,5,1.8
33,6,3.5
33,7,4.6
33,8,5.8
33,9,7.2
33,10,10.3
33,11,12.1
33,12,14
33,13,16
33,14,20.5
33,15,22.9
33,16,25.4
33,17,28
33,18,33.6
33,19,36.5
33,21,42.7
33,22,49.2
33,23,52.6
33,24,56.1
33,25,59.7
33,26,66.9
33,27,70.6
33,28,74.4
33,29,78.3
33,30,86.1
33,32,94.1
33,33,98.2
33,34,106.5
33,35,110.7
33,36,115
33,37,119.2
33,38,127.8
33,39,132.1
33,41,140.9
33,42,149.6
33,44,158.4
33,45,162.9
33,46,171.7
33,49,184.9
33,50,193.7
33,52,202.5
33,53,206.8
33,54,215.5
33,56,224.1
33,57,228.3
33,58,236.8
33,59,241
33,60,245.1
33,61,249.3
33,62,257.4
33,63,261.5
33,65,269.5
33,66,277.3
33,67,281.2
33,69,288.8
33,70,296.3
33,71,300
33,73,307.2
33,74,314.3
33,75,317.8
33,77,324.6
33,78,331.2
33,81,340.8
33,82,347
33,84,353
33,85,355.9
33,86,361.6
33,87,364.4
33,89,369.8
33,90,375
33,92,380
33,93,382.4
33,94,387.2
33,95,389.5
33,97,393.9
33,98,398.1
33,99,400.2
33,100,402.2
33,101,404.1
33,102,407.9
33,104,411.5
33,105,413.2
33,106,416.5
33,107,418
33,108,419.6
33,109,421
33,110,423.9
33,113,427.8
33,114,430.1
33,116,432.3
33,117,433.3
33,118,435.3
33,119,436.2
33,121,437.8
33,122,439.3
33,124,440.7
33,125,441.3
33,126,442.4
33,127,442.9
33,129,443.7
33,130,444.4
33,132,445
33,133,445.2
33,134,445.6
33,136,445.8
238,0,0
238,1,0
238,2,1
238,3,2.1
238,4,3.5
238,5,5.4
238,6,10.2
238,7,13.4
238,8,16.9
238,9,20.7
238,10,29.7
238,11,34.7
238,12,40.2
238,13,45.9
238,14,58.5
238,15,65.3
238,16,72.4
238,17,79.8
238,18,95.5
238,19,103.8
238,21,121.2
238,22,139.5
238,23,149
238,24,158.8
238,25,169
238,26,189.4
238,27,199.8
238,29,221.3
238,30,243.4
238,33,277.4
238,34,300.8
238,37,336.5
238,38,360.7
238,41,397.4
238,42,422.2
238,45,459.5
238,46,484.5
238,49,521.9
238,50,546.8
238,53,583.9
238,54,608.5
238,57,645
238,58,669
238,61,704.6
238,62,727.9
238,64,751
238,65,762.3
238,66,784.8
238,68,807
238,69,817.8
238,70,839.4
238,72,860.5
238,73,870.8
238,74,891.3
238,77,921
238,78,940.3
238,79,949.8
238,81,968.2
238,82,986.3
238,85,1012.4
238,86,1029.1
238,88,1045.4
238,89,1053.3
238,90,1068.7
238,91,1076.2
238,93,1090.9
238,94,1105
238,96,1118.6
238,97,1125.1
238,98,1137.9
238,99,1144.2
238,101,1156.2
238,102,1167.6
238,104,1178.5
238,105,1183.8
238,106,1193.9
238,108,1203.6
238,109,1208.2
238,110,1217
238,111,1221.3
238,113,1229.4
238,114,1237
238,115,1240.6
238,116,1244.1
238,117,1247.4
238,118,1253.8
238,119,1256.9
238,120,1259.8
238,121,1262.6
238,122,1267.7
238,123,1270.2
238,124,1272.5
238,125,1274.6
238,126,1278.7
238,127,1280.6
238,128,1282.3
238,129,1283.9
238,130,1286.9
238,131,1288.2
238,133,1290.6
238,134,1292.5
238,135,1293.3
238,136,1293.9
238,137,1294.6
238,138,1295.4
238,139,1295.8
238,140,1296
238,142,1296.2
220,0,0
220,1,0
220,2,1
220,3,2.1
220,4,3.5
220,5,5.4
220,6,10.2
220,7,13.2
220,8,16.6
220,9,20.3
220,10,28.8
220,11,33.5
220,12,38.6
220,13,44
220,14,55.6
220,15,61.9
220,16,68.4
220,17,75.2
220,18,89.6
220,20,104.9
220,21,112.9
220,22,129.5
220,24,146.8
220,25,156
220,26,174.2
220,27,183.5
220,29,202.6
220,30,222.2
220,33,252.4
220,34,273
220,37,304.5
220,38,325.8
220,41,358.1
220,42,379.8
220,45,412.5
220,46,434.3
220,49,467
220,50,488.8
220,53,521.2
220,54,542.7
220,57,574.6
220,58,595.5
220,59,606
220,61,626.6
220,62,647
220,65,677.1
220,66,696.7
220,68,716.1
220,69,725.6
220,70,744.4
220,73,772
220,74,789.9
220,77,816
220,78,833
220,80,849.5
220,81,857.6
220,82,873.5
220,83,881.3
220,85,896.5
220,86,911.3
220,87,918.6
220,89,932.7
220,90,946.5
220,91,953.2
220,93,966.2
220,94,978.8
220,95,985
220,97,996.9
220,98,1008.4
220,99,1014
220,101,1024.8
220,102,1035.2
220,103,1040.2
220,105,1049.9
220,106,1059.2
220,107,1063.7
220,109,1072.3
220,110,1080.5
220,112,1088.3
220,113,1092
220,114,1099.1
220,115,1102.5
220,116,1105.8
220,117,1109
220,118,1115.1
220,119,1118
220,120,1120.8
220,121,1123.5
220,122,1128.6
220,123,1131
220,124,1133.3
220,125,1135.5
220,126,1139.6
220,127,1141.6
220,128,1143.4
220,129,1145.1
220,130,1148.3
220,131,1149.8
220,133,1152.4
220,134,1154.7
220,135,1155.7
220,137,1157.5
220,138,1158.9
220,139,1159.5
220,140,1160
220,141,1160.4
220,142,1161.1
220,143,1161.3
220,144,1161.4
167,0,0
167,1,0
167,2,1
167,3,2.1
167,4,3.5
167,5,5.4
167,6,10.2
167,7,13.2
167,8,16.6
167,9,20.3
167,10,28.8
167,11,33.5
167,12,38.6
167,13,44
167,14,55.6
167,15,61.9
167,16,68.4
167,17,75.2
167,18,89.6
167,20,104.9
167,21,112.9
167,22,129.5
167,24,146.8
167,25,156
167,26,174.2
167,27,183.5
167,29,202.6
167,30,222.2
167,33,252.4
167,34,273
167,37,304.5
167,38,325.8
167,41,358.1
167,42,379.8
167,45,412.5
167,46,434.3
167,49,467
167,50,488.8
167,53,521.2
167,54,542.7
167,57,574.6
167,58,595.5
167,59,606
167,61,626.6
167,62,647
167,65,677.1
167,66,696.7
167,68,716.1
167,69,725.6
167,70,744.4
167,73,772
167,74,789.9
167,77,816
167,78,833
167,79,841.3
167,81,857.6
167,82,873.5
167,83,881.3
167,85,896.5
167,86,911.3
167,87,918.6
167,89,932.7
167,90,946.5
167,91,953.2
167,93,966.2
167,94,978.8
167,95,985
167,97,996.9
167,98,1008.4
167,99,1014
167,101,1024.8
167,102,1035.2
167,103,1040.2
167,105,1049.9
167,106,1059.2
167,107,1063.7
167,109,1072.3
167,110,1080.5
167,112,1088.3
167,113,1092
167,114,1099.1
167,115,1102.5
167,116,1105.8
167,117,1109
167,118,1115.1
167,119,1118
167,120,1120.8
167,121,1123.5
167,122,1128.6
167,123,1131
167,124,1133.3
167,125,1135.5
167,126,1139.6
167,127,1141.6
167,128,1143.4
167,129,1145.1
167,130,1148.3
167,131,1149.8
167,133,1152.4
167,134,1154.7
167,135,1155.7
167,137,1157.5
167,138,1158.9
167,139,1159.5
167,140,1160
167,141,1160.4
167,142,1161.1
167,143,1161.3
167,144,1161.4
32,0,0
32,1,0
32,2,0.9
32,3,1.7
32,4,2.9
32,5,4.4
32,6,8.6
32,7,11.1
32,8,14.1
32,9,17.3
32,10,24.8
32,11,29
32,12,33.7
32,13,38.6
32,14,49.1
32,15,54.9
32,16,61
32,17,67.3
32,18,80.6
32,19,87.7
32,20,95
32,21,102.5
32,22,118.2
32,23,126.2
32,24,134.5
32,25,143.2
32,26,160.7
32,27,169.5
32,29,187.7
32,30,206.6
32,31,216.2
32,33,235.8
32,34,255.7
